Id	rnase0	rnase1	rnase2	rnase3	rnase4	rnase5
Itm2a	3	18	162	144	158	142
Sergef	2	10	43	44	42	27
Fam109a	0	1	23	6	8	6
Dhx9	18	61	598	568	720	640
Ssu72	6	33	389	427	557	461
Olfr1018	0	0	0	0	0	0
Fam71e2	0	0	0	0	0	0
Eif2b2	1	15	118	126	149	142
Mks1	0	2	8	6	4	12
Hebp2	0	0	6	8	9	6
Vps28	7	56	433	396	488	422
Setd6	1	2	28	22	17	24
Gstm2	0	1	15	6	10	7
Psma4	9	49	496	507	590	518
Pex19	7	52	353	347	387	367
Katnbl1	1	3	27	25	30	24
Tsnaxip1	0	0	3	2	1	2
Bcl7a	3	14	159	201	241	248
Dio1	0	0	0	0	0	0
Bnip3l	12	43	474	425	539	491
Capzb	14	125	1223	1239	1432	1409
Dnajc21	2	2	33	43	53	42
Cachd1	7	33	341	271	276	278
Olfr955	0	0	0	0	0	0
Snip1	0	9	52	48	50	44
Ptgr1	0	1	29	18	22	21
Vmn1r5	0	0	0	0	0	0
Npy	4	49	446	272	331	293
B9d2	3	28	157	70	51	49
Ap5s1	1	9	58	46	45	34
Syt2	0	5	70	65	73	59
Ppia	78	607	6071	6200	7785	7484
Phax	3	20	136	183	242	224
Lnx2	0	4	19	11	16	15
4932418E24Rik	0	0	3	2	3	3
Itgb7	0	1	3	3	4	3
Rplp2	6	31	261	296	346	306
Strbp	11	56	380	410	459	509
4930444G20Rik	0	0	0	0	0	0
Olfr799	0	0	0	0	0	0
Gm10220	0	0	0	0	0	0
Dhrs2	0	0	0	0	0	0
Ankk1	0	0	0	0	0	0
Ttll11	1	16	69	40	62	62
Fam187b	0	0	1	0	2	2
B3gnt3	0	2	4	2	0	1
4930467E23Rik	0	0	0	0	0	0
Olfr1221	0	0	0	0	0	0
Zdhhc23	0	11	88	69	79	71
Psmg2	3	12	95	103	123	101
Mettl22	2	7	50	32	30	30
Adrb1	2	18	103	51	33	28
Ifi30	0	0	15	10	14	11
Lrrn4cl	0	0	0	0	0	0
Hprt	11	65	817	922	1186	1155
Gkn1	0	0	0	0	0	0
Gm4736	0	0	0	0	0	0
Fabp9	0	0	0	0	0	0
Fignl2	0	0	1	2	0	1
Tlr9	1	7	25	17	20	11
Olfr1466	0	0	0	0	0	0
Kcnh1	5	19	149	131	124	125
Spaca7	0	0	0	0	0	0
Lrat	0	0	0	1	0	0
Otop2	0	0	1	1	1	0
Rnf115	5	11	236	202	262	263
Hdgf	2	25	217	266	307	270
Chst12	1	13	81	60	67	57
1700019D03Rik	1	2	3	4	6	3
Sowahc	3	14	110	64	99	68
Nup188	3	14	84	71	82	77
Vmn1r184	0	0	0	0	0	0
Gpx2	0	0	0	0	0	0
Olfr1084	0	0	0	0	0	0
Msmb	0	0	0	0	0	0
Pithd1	5	28	194	114	138	115
Ptprb	5	1	43	29	30	44
Rab9b	2	8	108	123	155	117
Ccdc155	0	0	7	5	1	3
Vsig8	0	1	1	0	0	0
Tmem88b	4	42	226	75	85	51
Prkag2	6	32	304	223	280	243
Nmt1	16	70	622	480	571	552
Cd22	0	0	1	0	1	0
Gpr111	0	0	0	1	0	0
Slc15a1	0	0	1	0	1	1
Batf3	0	0	0	2	0	0
Slc47a1	0	0	3	0	1	1
Sharpin	4	38	225	136	151	120
Pbx4	3	4	30	19	26	22
Nup210	6	21	174	135	139	139
Dnaic1	1	1	20	16	19	14
Nos1	8	59	521	385	419	372
Sod2	20	105	1278	875	1219	1096
Cdk6	1	0	8	13	6	3
C1rl	0	0	4	2	0	0
Tcea2	3	9	76	71	68	55
Fam83h	0	1	1	0	2	1
Il17ra	3	4	40	34	44	36
Bdkrb1	0	0	0	1	2	0
Sgk1	9	30	302	260	298	298
Aig1	11	26	316	250	268	249
Atp6v1e1	25	187	1934	2062	2692	2718
D430042O09Rik	0	5	50	34	46	52
l7Rn6	7	17	184	180	227	172
Sufu	2	4	61	56	45	55
Iltifb	0	0	0	0	0	0
Zscan22	0	4	24	17	38	28
Olfr902	0	0	0	0	0	0
Gm8994	0	0	0	1	0	0
Olfr862	0	0	0	0	0	0
Olfr279	0	0	0	0	0	0
Dda1	0	28	177	127	175	146
Ptprk	7	33	302	223	270	261
Mdc1	3	12	92	66	105	101
Kit	26	55	760	632	742	662
Gata1	0	0	0	0	0	0
Cnga4	0	0	4	1	0	2
E130309D14Rik	0	17	69	43	34	24
Apol7c	0	0	0	0	0	0
Neil2	0	0	1	2	3	1
Rad51d	0	3	42	28	30	25
H2-Bl	0	0	2	0	0	0
Cacfd1	4	14	85	68	48	47
Atp7b	0	2	14	7	6	1
Grem2	1	9	61	44	46	39
Glt6d1	0	0	0	0	0	0
Gli1	1	0	1	2	0	3
Il10rb	1	10	30	31	43	27
Fstl3	0	0	2	0	0	0
Ccdc71	1	17	98	72	71	80
Rho	0	0	0	0	0	0
Nt5dc1	0	4	12	3	13	12
Obox5	0	0	0	0	0	0
4931428F04Rik	2	9	51	21	29	17
Rbbp6	5	26	231	230	332	290
Gbf1	4	48	313	235	276	252
Plp1	365	2433	25557	16964	16610	16633
Gm7030	0	0	0	0	0	0
Slc6a20b	0	0	0	0	0	0
Tst	6	17	171	97	117	80
Bpifb6	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0
Nid2	1	7	88	46	72	53
Fam117b	10	59	433	249	306	246
C1qtnf7	2	0	3	3	6	1
