transcript_id	symbol	cds_start	cds_stop	transcript_length	cds_length	length_5utr	length_3utr	isopct	expected_counts	tpm
NM_008409	Itm2a	144	936	1632	792	144	696	100.00	158.00	52.31
NM_013789	Sergef	35	1430	1460	1395	35	30	100.00	42.00	7.49
NM_001012309	Ccdc55	39	1668	3116	1629	39	1448	100.00	84.00	12.71
NM_175474	Fam109a	312	1113	2335	801	312	1222	100.00	8.00	2.61
NM_007842	Dhx9	150	4302	4613	4152	150	311	100.00	719.99	41.29
NM_026899	Ssu72	567	1152	1451	585	567	299	100.00	557.00	261.17
NM_011304	Ruvbl2	201	1593	1675	1392	201	82	100.00	132.00	23.59
NM_033574	Pcdhgb1	0	2757	4498	2757	0	1741	100.00	118.27	10.33
NM_145445	Eif2b2	81	1137	1605	1056	81	468	100.00	149.00	35.87
NM_001024504	Dcun1d2	320	1100	3034	780	320	1934	100.00	100.00	33.68
NM_001039684	Mks1	25	1711	2365	1686	25	654	100.00	4.00	0.58
NM_019487	Hebp2	281	899	1910	618	281	1011	100.00	9.00	3.96
NM_146009	Cep290	18	7458	8006	7440	18	548	100.00	15.00	0.48
NM_025903	Ifrd2	171	1497	1980	1326	171	483	100.00	3.00	0.56
NM_026787	1110012L19Rik	259	733	1057	474	259	324	100.00	35.00	21.13
NM_025842	Vps28	131	797	944	666	131	147	100.00	488.00	196.76
NM_001035123	Setd6	24	1446	1669	1422	24	223	100.00	17.00	2.97
NM_028925	Polr3c	110	1712	1796	1602	110	84	100.00	50.00	7.70
NM_008183	Gstm2	43	700	1047	657	43	347	100.00	10.01	4.10
NM_011966	Psma4	69	855	1096	786	69	241	100.00	590.00	197.00
NM_023041	Pex19	24	924	3131	900	24	2207	100.00	387.00	111.08
NM_024254	Katnbl1	161	1061	2883	900	161	1822	100.00	30.00	8.61
NM_024445	Tsnaxip1	43	2158	2210	2115	43	52	100.00	1.00	0.11
NM_008862	Pkia	176	407	3682	231	176	3275	100.00	210.00	342.02
NM_029850	Bcl7a	182	815	3809	633	182	2994	100.00	241.00	103.05
NM_010900	Nfatc2ip	22	1261	3388	1239	22	2127	100.00	26.00	5.26
NM_009761	Bnip3l	93	750	3237	657	93	2487	100.00	539.00	220.76
NM_001024539	Shc2	68	1790	3957	1722	68	2167	100.00	75.00	10.70
NM_001271405	Capzb	19	925	1655	906	19	730	47.85	724.27	206.36
NM_177312	6330408A02Rik	86	2636	3347	2550	86	711	100.00	22.00	2.08
NM_030046	Dnajc21	155	1751	2053	1596	155	302	100.00	53.00	8.19
NM_001077684	Ccdc173	23	1667	1731	1644	23	64	100.00	2.00	0.30
NM_198037	Cachd1	450	4317	4965	3867	450	648	100.00	276.00	17.02
NM_029580	Trmt5	23	1529	1669	1506	23	140	100.00	68.00	11.18
NM_018859	Akr1e1	41	947	1713	906	41	766	100.00	136.00	38.75
NM_175246	Snip1	60	1212	2325	1152	60	1113	100.00	50.00	10.95
NM_025968	Ptgr1	51	1041	2104	990	51	1063	100.00	22.00	5.68
NM_023456	Npy	92	386	564	294	92	178	100.00	331.00	374.32
NM_172148	B9d2	229	757	1021	528	229	264	100.00	51.00	27.01
NM_001291031	Ap5s1	357	960	1601	603	357	641	54.03	22.91	10.37
NM_009307	Syt2	381	1650	3386	1269	381	1736	100.00	73.00	14.41
NM_008907	Ppia	41	536	736	495	41	200	100.00	7785.00	4457.28
NM_019996	Phax	169	1327	1893	1158	169	566	100.00	242.00	52.71
NM_080795	Lnx2	213	2277	4543	2064	213	2266	100.00	16.00	1.89
NM_001042725	Calcr	305	1796	3471	1491	305	1675	100.00	5.00	0.83
NM_177841	4932418E24Rik	174	3051	3147	2877	174	96	100.00	3.00	0.25
NM_146249	Zfp119b	85	1717	1897	1632	85	180	100.00	3.19	0.48
NM_052994	Spock2	211	1483	3915	1272	211	2432	100.00	4490.00	883.86
NM_133224	Atp13a1	92	3695	3914	3603	92	219	100.00	170.00	11.27
NM_013566	Itgb7	88	2509	2674	2421	88	165	100.00	4.00	0.40
NM_026020	Rplp2	59	407	441	348	59	34	100.00	346.00	310.05
NM_026122	Hmgn3	162	462	911	300	162	449	50.42	57.82	63.54
NM_001145192	A330050F15Rik	200	410	2296	210	200	1886	100.00	16.00	30.54
NM_009261	Strbp	167	2186	16348	2019	167	14162	100.00	459.00	55.40
NM_024216	Gpn3	101	956	1402	855	101	446	100.00	62.00	18.84
NM_029774	Ttll11	0	2184	3191	2184	0	1007	100.00	62.00	6.89
NM_001242647	Fam187b	375	1074	1456	699	375	382	100.00	2.00	0.76
NM_001164612	Atp13a4	177	3759	4114	3582	177	355	99.38	51.76	3.45
NM_001007460	Zdhhc23	0	1278	1278	1278	0	0	100.00	78.97	15.47
NM_134138	Psmg2	80	875	1059	795	80	184	100.00	123.00	40.55
