transcript_id	cds_start	cds_stop	transcript_length	cds_length	5utr_length	3utr_length
NM_001282945	   321	  1302	  5038	   981	   321	  3736
NM_001291930	   315	   870	  4606	   555	   315	  3736
NM_001291928	   123	   834	  4570	   711	   123	  3736
NM_001039510	   287	  1268	  5004	   981	   287	  3736
NM_001008533	  1102	  2083	  5819	   981	  1102	  3736
NM_008922	   180	  1698	  1976	  1518	   180	   278
NM_001290390	  1972	  3523	  7259	  1551	  1972	  3736
NM_001290393	  1918	  3472	  7208	  1554	  1918	  3736
NM_001290392	  2460	  3258	  6994	   798	  2460	  3736
NM_207653	   505	  1951	  7238	  1446	   505	  5287
NM_175642	   261	  4830	  5522	  4569	   261	   692
NM_001293804	   774	  1662	  6949	   888	   774	  5287
NM_027671	  1972	  3526	  7262	  1554	  1972	  3736
NM_001289704	   233	  1679	  6966	  1446	   233	  5287
NM_009805	   505	  1153	  2018	   648	   505	   865
NM_178884	   228	  5643	  5770	  5415	   228	   127
NM_027677	   341	  1712	  2689	  1371	   341	   977
NM_001310679	   228	  3306	  3468	  3078	   228	   162
NM_001195816	   320	  1745	  3267	  1425	   320	  1522
NM_181546	   140	  1808	  7881	  1668	   140	  6073
NM_033652	   217	  1366	  3338	  1149	   217	  1972
NM_176916	   438	  2049	  3571	  1611	   438	  1522
NM_001301370	   140	  1865	  7938	  1725	   140	  6073
NM_001160369	   464	  1853	  2789	  1389	   464	   936
NM_001289497	   621	  1410	  1815	   789	   621	   405
NM_001160370	   464	  1328	  6815	   864	   464	  5487
NM_177834	   218	  1535	  1940	  1317	   218	   405
NM_145381	    59	   926	  1887	   867	    59	   961
NM_001160371	   464	  1331	  6168	   867	   464	  4837
NM_177173	   464	  1844	  2780	  1380	   464	   936
NM_001310451	   464	  1796	  2732	  1332	   464	   936
NM_027974	   108	  2055	  2208	  1947	   108	   153
NM_133235	   196	  1246	  2274	  1050	   196	  1028
NM_001029878	     0	  1557	  5077	  1557	     0	  3520
NM_146107	    72	  1203	  2077	  1131	    72	   874
NM_001160386	     0	 12207	 12318	 12207	     0	   111
NM_053107	   609	  1731	  3860	  1122	   609	  2129
NM_001163314	   104	  2873	 10579	  2769	   104	  7706
NM_001252070	    92	 12167	 12272	 12075	    92	   105
NM_001114663	   442	  3733	  6555	  3291	   442	  2822
NM_001081050	   419	  4031	  8392	  3612	   419	  4361
NM_007561	   374	  3491	 11087	  3117	   374	  7596
NM_025728	   180	  1113	  1303	   933	   180	   190
NM_175210	   328	  8116	  8323	  7788	   328	   207
NM_009533	   126	  2325	  2556	  2199	   126	   231
NM_001310662	   375	  3249	  7130	  2874	   375	  3881
NM_010154	   303	  4182	 12036	  3879	   303	  7854
NM_029160	    34	  1954	  2144	  1920	    34	   190
NM_176972	   375	  3315	  7196	  2940	   375	  3881
NM_175291	   105	  6669	  7308	  6564	   105	   639
NM_001172157	   164	  2819	  3171	  2655	   164	   352
NM_133816	   342	  3231	  3673	  2889	   342	   442
NM_201644	    51	  1638	  3216	  1587	    51	  1578
NM_201641	    71	  1664	  3242	  1593	    71	  1578
NM_027921	   237	  1776	  2349	  1539	   237	   573
NM_153530	   164	  2777	  3129	  2613	   164	   352
NM_080850	   312	  4464	  5119	  4152	   312	   655
NM_001199213	    64	  1336	  1619	  1272	    64	   283
NM_011800	   220	  2626	  3722	  2406	   220	  1096
NM_027971	   134	  1406	  1687	  1272	   134	   281
NM_172853	   363	  2721	  4269	  2358	   363	  1548
NM_001316743	   346	  2704	  4252	  2358	   346	  1548
NM_001077425	     0	  3915	  3915	  3915	     0	     0
NM_001316744	  1114	  3298	  4846	  2184	  1114	  1548
NM_199021	   116	  2519	  4630	  2403	   116	  2111
NM_029709	   748	  5131	  7599	  4383	   748	  2468
NM_001293301	   748	  5107	  7575	  4359	   748	  2468
NM_001293300	   748	  5407	  7875	  4659	   748	  2468
NM_008551	   318	  1479	  2870	  1161	   318	  1391
NM_008795	   301	  1657	  3046	  1356	   301	  1389
NM_178690	    39	  2985	  4251	  2946	    39	  1266
NM_172485	   331	  5155	  6253	  4824	   331	  1098
NM_145417	    76	  2029	  2301	  1953	    76	   272
NM_001159624	    76	  1912	  2184	  1836	    76	   272
NM_001081360	   667	  5104	  7823	  4437	   667	  2719
NM_009791	   159	  9528	  9866	  9369	   159	   338
NM_001081027	     0	  3408	  3957	  3408	     0	   549
NM_001347109	   667	  5086	  7805	  4419	   667	  2719
NM_001347110	   667	  5053	  7772	  4386	   667	  2719
NM_008869	   166	  2413	  2855	  2247	   166	   442
NM_153539	   462	  2763	  3118	  2301	   462	   355
NM_145991	   269	  1865	  7110	  1596	   269	  5245
NM_001145807	   104	  2405	  2760	  2301	   104	   355
NM_021433	   190	   958	  2459	   768	   190	  1501
NM_175460	     8	   932	  4523	   924	     8	  3591
NM_207583	   820	  3172	  4101	  2352	   820	   929
NM_197990	   518	   884	  9754	   366	   518	  8870
NM_177644	   657	  4518	 10046	  3861	   657	  5528
NM_001038846	   198	  1347	  2580	  1149	   198	  1233
NM_178593	   198	  1437	  2670	  1239	   198	  1233
NM_013862	   245	  2693	  3373	  2448	   245	   680
NM_011880	   331	  1741	  2409	  1410	   331	   668
NM_001160215	    43	  1105	  1661	  1062	    43	   556
NM_145141	    43	  1102	  1658	  1059	    43	   556
NM_001199003	   331	  1744	  2487	  1413	   331	   743
NM_001347195	   331	  1765	  2490	  1434	   331	   725
NM_001160212	   798	  1137	  2526	   339	   798	  1389
NM_001160211	   798	  1281	  2670	   483	   798	  1389
NM_001081175	   503	  3332	  5101	  2829	   503	  1769
NM_027188	    52	  1339	  3761	  1287	    52	  2422
NM_011785	    46	  1486	  4735	  1440	    46	  3249
NM_028408	   798	  1338	  2727	   540	   798	  1389
NM_173378	   257	  3662	  4370	  3405	   257	   708
NM_008976	   536	  4106	 10744	  3570	   536	  6638
NM_001243792	   301	  1609	  5354	  1308	   301	  3745
NM_178775	   110	  3281	  3995	  3171	   110	   714
NM_021408	   196	 15778	 15889	 15582	   196	   111
NM_009367	  1215	  2460	  5116	  1245	  1215	  2656
NM_001329107	  1215	  2544	  5200	  1329	  1215	  2656
NM_001011874	   150	  2094	  3634	  1944	   150	  1540
NM_001290372	   183	   810	  1708	   627	   183	   898
NM_021374	   160	   880	  1778	   720	   160	   898
NM_133826	   227	  1679	  2063	  1452	   227	   384
NM_001177795	   108	  1227	  2125	  1119	   108	   898
NM_001195662	    54	   912	  3047	   858	    54	  2135
NM_001310442	   227	  1625	  2009	  1398	   227	   384
NM_001244693	   342	  3480	  5820	  3138	   342	  2340
NM_173868	   233	  3371	  5711	  3138	   233	  2340
NM_001244692	   420	  3558	  5898	  3138	   420	  2340
NM_175236	    47	  1445	  3139	  1398	    47	  1694
NM_001102430	   176	  5717	  7042	  5541	   176	  1325
NM_133220	   346	  1837	  5515	  1491	   346	  3678
NM_001290397	   255	  2331	  4804	  2076	   255	  2473
NM_008651	   255	  2511	  4984	  2256	   255	  2473
NM_026493	   137	  3731	  4354	  3594	   137	   623
NM_177547	   239	  1730	  5408	  1491	   239	  3678
NM_001285425	     0	   501	  3746	   501	     0	  3245
NM_029525	   328	  5125	 11054	  4797	   328	  5929
NM_001033636	   203	   608	  6537	   405	   203	  5929
NM_001198566	   387	  3000	  4530	  2613	   387	  1530
NM_001198565	   482	  3095	  4625	  2613	   482	  1530
NM_172294	   466	  3079	  4609	  2613	   466	  1530
NM_008678	   222	  4611	  8267	  4389	   222	  3656
NM_001302702	   323	  4505	  8161	  4182	   323	  3656
NM_172841	   640	  3193	  8511	  2553	   640	  5318
NM_001252192	   579	  2256	  4214	  1677	   579	  1958
NM_010164	   608	  2372	  4330	  1764	   608	  1958
NM_001310459	   608	  2384	  4342	  1776	   608	  1958
NM_001098528	     0	  2724	  5309	  2724	     0	  2585
NM_025303	   214	  1927	  2890	  1713	   214	   963
NM_001310470	   177	   582	  2145	   405	   177	  1563
NM_026456	    93	   432	   955	   339	    93	   523
NM_001111272	   179	  1796	  2759	  1617	   179	   963
NM_133832	   136	  1162	  2295	  1026	   136	  1133
NM_001033288	    70	   865	  2748	   795	    70	  1883
NM_001347044	   283	  1819	  3226	  1536	   283	  1407
NM_001347045	   179	  1619	  3026	  1440	   179	  1407
NM_020604	   285	  2268	  4807	  1983	   285	  2539
NM_153154	   234	  1593	  4002	  1359	   234	  2409
NM_153179	   229	 12409	 12928	 12180	   229	   519
NM_023872	   361	  3163	  6923	  2802	   361	  3760
NM_001160139	   361	  3220	  6980	  2859	   361	  3760
NM_001310477	  1069	  3844	  7608	  2775	  1069	  3764
NM_053270	     0	  2189	  2189	  2189	     0	     0
NM_001012625	     0	  1877	  1877	  1877	     0	     0
NM_183018	     0	  2105	  2105	  2105	     0	     0
NM_001012624	     0	  1877	  1877	  1877	     0	     0
NM_001012623	     0	  1922	  1922	  1922	     0	     0
NM_001012623	     0	  1877	  1877	  1877	     0	     0
NM_028534	   226	  1549	  2353	  1323	   226	   804
NM_001290683	   211	  1279	  2083	  1068	   211	   804
NM_007733	   124	  3535	 10542	  3411	   124	  7007
NM_001290691	   177	  2220	  3097	  2043	   177	   877
NM_007740	   245	  3011	  3888	  2766	   245	   877
NM_153601	    16	  1708	  1903	  1692	    16	   195
NM_134448	     0	 22182	 23252	 22182	     0	  1070
NM_011206	    78	  1440	  1573	  1362	    78	   133
NM_133833	     0	 16140	 17210	 16140	     0	  1070
NM_001276764	    47	 23201	 24271	 23154	    47	  1070
NM_145516	   113	   779	  3317	   666	   113	  2538
NM_175421	   113	   728	  2794	   615	   113	  2066
